Age Range,Total Users,Avg # of Friends,Total likes Given,Mobile Likes / WWW Likes
Under 20,20983,328.64795310489444,4476398,2.008737739439266
20 - 30,30699,185.94169191178867,4107481,2.920539820288981
30 - 40,13372,108.4962608435537,1583975,3.688422012265871
40 - 50,8837,101.1395269887971,1277832,2.63920382537472
50 - 60,9537,109.9670756002936,1642303,1.4763351573208041
Over 60,15575,220.97817014446227,2364279,1.2330367321418283
